Escherichia coli 55989 chromosome, complete genome - 1..5154862
4755 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
797021..797740	+	239	218694168	pnuC	EC55989_0730	-	COG3201H	nicotinamide mononucleotide transporter
797737..798678	-	313	218694169	zitB	EC55989_0731	-	COG1230P	zinc transporter ZitB
798792..799172	-	126	218694170	ybgS	EC55989_0732	-	-	hypothetical protein
799488..800540	+	350	218694171	aroG	EC55989_0733	-	COG0722E	phospho-2-dehydro-3-deoxyheptonate aldolase
800698..801450	-	250	218694172	gpmA	EC55989_0734	-	COG0588G	phosphoglyceromutase
801655..802695	-	346	218694173	galM	EC55989_0735	-	COG2017G	aldose 1-epimerase
802689..803837	-	382	218694174	galK	EC55989_0736	-	COG0153G	galactokinase
803841..804887	-	348	218694175	galT	EC55989_0737	-	COG1085C	galactose-1-phosphate uridylyltransferase
804897..805913	-	338	218694176	galE	EC55989_0738	-	COG1087M	UDP-galactose-4-epimerase
806174..807646	-	490	218694177	modF	EC55989_0739	-	COG1119P	molybdenum transport ATP-binding protein ModF
807574..807720	-	48	218694178	-	EC55989_0740	-	-	hypothetical protein
807714..808502	-	262	218694179	modE	EC55989_0741	-	COG2005R	DNA-binding transcriptional regulator ModE
808631..808780	+	49	218694180	ybhT	EC55989_0742	-	-	hypothetical protein
808947..809720	+	257	218694181	modA	EC55989_0743	-	COG0725P	molybdate transporter periplasmic protein
809720..810409	+	229	218694182	modB	EC55989_0744	-	COG4149P	molybdate ABC transporter permease
810412..811470	+	352	218694183	modC	EC55989_0745	-	COG4148P	molybdate transporter ATP-binding protein
811471..812289	-	272	218694184	ybhA	EC55989_0746	-	COG0561R	phosphotransferase
812444..813439	+	331	218694185	pgl	EC55989_0747	-	COG2706G	6-phosphogluconolactonase
814238..814513	+	91	218694186	insA	EC55989_0749	-	COG3677L	IS1 repressor protein InsA
814432..814935	+	167	218694187	insB	EC55989_0750	-	COG1662L	IS1 transposase InsAB'
815697..817130	+	477	218694188	ybhI	EC55989_0752	-	COG0471P	anion transporter
817313..819574	+	753	218694189	ybhJ	EC55989_0753	-	COG1048C	hypothetical protein
819808..821091	-	427	218694190	ybhC	EC55989_0754	-	COG4677G	pectinesterase
821226..822296	-	356	218694191	int	EC55989_0755	-	COG4974L	Integrase from phage
822920..823123	+	67	218694192	-	EC55989_0757	-	-	hypothetical protein
823755..823976	-	73	218694193	-	EC55989_0758	-	COG1734T	hypothetical protein
824075..824386	-	103	218694194	-	EC55989_0759	-	-	hypothetical protein
824367..824558	-	63	218694195	-	EC55989_0761	-	-	phage protein
824710..825390	-	226	218694196	-	EC55989_0762	-	-	exonuclease from phage origin
825387..826172	-	261	218694197	-	EC55989_0763	-	-	Recombination protein bet from phage origin
826178..826474	-	98	218694198	-	EC55989_0764	-	-	host-nuclease inhibitor protein Gam of bacteriophage
827354..828109	-	251	218694199	-	EC55989_0766	-	COG2932K	Regulatory protein CI from bacteriophage origin
828148..828378	+	76	218694200	cro	EC55989_0767	-	COG4197S	Cro
828448..828987	+	179	218694201	-	EC55989_0768	-	-	Regulatory protein CII (modular protein) from bacteriophage origin; coiled-coil
828984..830003	+	339	218694202	-	EC55989_0769	-	-	Replication protein O frm phage origin
830000..830701	+	233	218694203	-	EC55989_0770	-	-	replication protein P of bacteriophage
830698..831000	+	100	218694204	-	EC55989_0771	-	-	Ren protein from phage origin
831068..831400	+	110	218694205	emrE	EC55989_0772	-	COG2076P	multidrug efflux protein
831656..833182	+	508	218694206	ybcK	EC55989_0773	-	COG1961L	site-specific invertase; DLP12 prophage
833179..833355	+	58	218694207	-	EC55989_0774	-	-	hypothetical protein
833852..834361	+	169	218694208	-	EC55989_0776	-	-	hypothetical protein
834556..835011	+	151	218694209	ybcN	EC55989_0777	-	-	hypothetical protein
835011..835181	+	56	218694210	ninE	EC55989_0778	-	-	prophage protein NinE
835174..835464	+	96	218694211	ybcO	EC55989_0779	-	-	DLP12 prophage
836045..836428	+	127	218694212	ybcQ	EC55989_0781	-	-	antitermination protein Q
836617..837699	-	360	218694213	nmpC	EC55989_0782	-	COG3203M	outer membrane porin; DLP12 prophage
838288..838503	+	71	218694214	essD	EC55989_0783	-	-	phage lysis protein S; DLP12 prophage
838503..839000	+	165	218694215	ybcS	EC55989_0784	-	COG3772R	lysozyme; DLP12 prophage
838985..839434	+	149	218694216	-	EC55989_0785	-	-	bacteriophage lysis protein
839640..840161	+	173	218694217	-	EC55989_0786	-	-	phage protein
840511..840936	-	141	218694218	-	EC55989_0787	-	COG5562R	phage protein
840978..841211	-	77	218694219	ynfO	EC55989_0788	-	-	Qin prophage
841600..842145	+	181	218694220	nohB	EC55989_0789	-	COG4220L	DNA packaging protein; DLP12 prophage
842120..843781	+	553	218694221	A	EC55989_0790	-	COG5525R	Terminase large subunit from bacteriophage origin
844041..844247	+	68	218694222	W	EC55989_0792	-	-	Head-to-tail joining protein W (gpW) from bacteriophage origin
844244..845845	+	533	218694223	B	EC55989_0793	-	COG5511R	Portal protein; minor capsid protein [Contains: Protein B*] from bacteriophage origin
845691..847145	+	484	218694224	C	EC55989_0794	-	COG0616OU	Minor capsid protein C from bacteriophage origin
847149..847487	+	112	218694225	D	EC55989_0795	-	-	Head decoration protein from bacteriophage origin
847516..848568	+	350	218694226	E	EC55989_0796	-	-	Major head coat protein from bacteriophage origin
848571..849005	+	144	218694227	fI	EC55989_0797	-	-	DNA packaging protein from bacteriophage origin
849017..849370	+	117	218694228	fII	EC55989_0798	-	-	Tail attachment protein (Minor capsid protein FII) from bacteriophage origin
849382..849960	+	192	218694229	-	EC55989_0799	-	-	Minor tail protein Z (GpZ)
849957..850352	+	131	218694230	-	EC55989_0800	-	-	Minor tail protein U
850330..851100	+	256	218694231	-	EC55989_0801	-	COG5492N	Major tail protein V
851116..851538	+	140	218694232	-	EC55989_0802	-	-	Minor tail protein G
851520..851954	+	144	218694233	-	EC55989_0803	-	-	Minor tail protein T
851947..854508	+	853	218694234	-	EC55989_0804	-	COG5281S	Minor tail protein precursor H
854505..854834	+	109	218694235	-	EC55989_0805	-	COG4718S	Minor tail protein M
854834..855532	+	232	218694236	-	EC55989_0806	-	COG4672S	Minor tail protein L
855538..856281	+	247	218694237	-	EC55989_0807	-	COG1310R	tail fiber component K of prophage
856179..856850	+	223	218694238	-	EC55989_0808	-	COG4723S	Tail assembly protein I
856911..860408	+	1165	218694239	-	EC55989_0809	-	COG4733S	Host specificity protein J of prophage
860479..861078	+	199	218694240	-	EC55989_0810	-	COG3637M	Lom-like outer membrane protein of phage origin
861137..864217	+	1026	218694241	-	EC55989_0811	-	COG3064M	tail fiber protein
864217..864801	+	194	218694242	tfaQ	EC55989_0812	-	COG5525R	tail fiber chaperone; Qin prophage
864875..866206	-	443	218694243	-	EC55989_0813	-	COG2199T	membrane protein
866103..866297	+	64	218694244	-	EC55989_0814	-	-	hypothetical protein
866562..866735	+	57	218694245	-	EC55989_0815	-	-	hypothetical protein
866952..867428	-	158	218694246	ybhB	EC55989_0816	-	COG1881R	kinase inhibitor protein
867487..868776	-	429	218694247	bioA	EC55989_0817	-	COG0161H	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
868863..869903	+	346	218694248	bioB	EC55989_0818	-	COG0502H	biotin synthase
869900..871054	+	384	218694249	bioF	EC55989_0819	-	COG0156H	8-amino-7-oxononanoate synthase
871041..871796	+	251	218694250	bioC	EC55989_0820	-	COG2226H	biotin biosynthesis protein BioC
871789..872466	+	225	218694251	bioD	EC55989_0821	-	COG0132H	dithiobiotin synthetase
873045..875066	+	673	218694252	uvrB	EC55989_0822	-	COG0556L	excinuclease ABC subunit B
875258..876166	-	302	218694253	ybhK	EC55989_0823	-	COG0391S	transferase with NAD(P)-binding Rossmann-fold domain; UPF0052 family
876563..877552	+	329	218694254	moaA	EC55989_0824	-	COG2896H	molybdenum cofactor biosynthesis protein A
877574..878086	+	170	218694255	moaB	EC55989_0825	-	COG0521H	molybdopterin biosynthesis protein B
878089..878574	+	161	218694256	moaC	EC55989_0826	-	COG0315H	molybdenum cofactor biosynthesis protein MoaC
878567..878812	+	81	218694257	moaD	EC55989_0827	-	COG1977H	molybdopterin synthase small subunit
878814..879266	+	150	218694258	moaE	EC55989_0828	-	COG0314H	molybdopterin guanine dinucleotide biosynthesis protein MoaE
879403..880107	+	234	218694259	ybhL	EC55989_0829	-	COG0670R	inner membrane protein
880252..880956	+	234	218694260	-	EC55989_0830	-	COG0670R	integral membrane protein
881026..881739	+	237	218694261	ybhM	EC55989_0831	-	COG0670R	inner membrane protein
881775..882731	-	318	218694262	ybhN	EC55989_0832	-	COG0392S	inner membrane protein
882731..883972	-	413	218694263	ybhO	EC55989_0833	-	COG1502I	cardiolipin synthase 2
883969..884730	-	253	218694264	ybhP	EC55989_0834	-	COG3568R	metal-dependent hydrolase
884863..885273	+	136	218694265	ybhQ	EC55989_0835	-	-	inner membrane protein
885235..886341	-	368	218694266	ybhR	EC55989_0836	-	COG0842V	transporter subunit: permease component of ABC superfamily
886352..887485	-	377	218694267	ybhS	EC55989_0837	-	COG0842V	transporter subunit: permease component of ABC superfamily
887478..889214	-	578	218694268	ybhF	EC55989_0838	-	COG1131V	transporter fused subunits of ABC superfamily: ATP-binding components
889207..890205	-	332	218694269	ybhG	EC55989_0839	-	COG1566V	hypothetical protein
890205..890876	-	223	218694270	ybiH	EC55989_0840	-	COG1309K	DNA-binding transcriptional regulator
891105..892469	+	454	218694271	rhlE	EC55989_0841	-	COG0513LKJ	ATP-dependent RNA helicase RhlE
892701..893183	-	160	218694272	ybiA	EC55989_0842	-	COG3236S	hypothetical protein
893303..895453	+	716	218694273	dinG	EC55989_0843	-	COG1199KL	ATP-dependent DNA helicase DinG
895481..896443	+	320	218694274	ybiB	EC55989_0844	-	COG0547E	glycosyl transferase family protein
896584..897669	+	361	218694275	ybiC	EC55989_0845	-	COG2055C	hypothetical protein
897898..898158	-	86	218694276	ybiJ	EC55989_0846	-	-	hypothetical protein
898423..898689	-	88	218694277	ybiI	EC55989_0847	-	COG1734T	hypothetical protein
898763..899440	-	225	218694278	ybiX	EC55989_0848	-	COG3128S	hydroxylase
899482..901764	-	760	218694279	fiu	EC55989_0849	-	COG4774P	catecholate siderophore receptor Fiu
902029..902433	-	134	218694280	ybiM	EC55989_0850	-	-	hypothetical protein
902565..903491	+	308	218694281	ybiN	EC55989_0851	-	COG3129R	SAM-dependent methyltransferase
903488..905713	-	741	218694282	ybiO	EC55989_0852	-	COG0668M	hypothetical protein
905830..906552	-	240	218694283	glnQ	EC55989_0853	-	COG1126E	glutamine ABC transporter ATP-binding protein
906549..907208	-	219	218694284	glnP	EC55989_0854	-	COG0765E	glutamine ABC transporter permease
907347..908093	-	248	218694285	glnH	EC55989_0855	-	COG0834ET	glutamine ABC transporter periplasmic protein
908497..909000	-	167	218694286	dps	EC55989_0856	-	COG0783P	DNA starvation/stationary phase protection protein Dps
909299..910186	-	295	218694287	rhtA	EC55989_0857	-	COG5006R	threonine and homoserine efflux system
910539..911054	+	171	218694288	ompX	EC55989_0858	-	COG3637M	outer membrane protein X
911103..912686	-	527	218694289	ybiP	EC55989_0859	-	COG2194R	enzyme, UPF0141 family, inner membrane
913272..913739	+	155	218694290	mntR	EC55989_0860	-	COG1321K	manganese transport regulator MntR
913736..914854	+	372	218694291	ybiR	EC55989_0861	-	COG0471P	transporter
914913..915833	-	306	218694292	ybiS	EC55989_0862	-	COG1376S	hypothetical protein
916052..917644	+	530	218694293	ybiT	EC55989_0863	-	COG0488R	transporter fused subunits of ABC superfamily: ATP-binding components
917923..918903	+	326	218694294	-	EC55989_0865	-	COG3547L	transposase, IS110 family
919159..920424	-	421	218694295	ybiU	EC55989_0866	-	-	hypothetical protein
920576..921391	-	271	218694296	ybiV	EC55989_0867	-	COG0561R	type II HAD phosphatase
921537..923969	-	810	218694297	ybiW	EC55989_0868	-	COG1882C	glycyl radical cofactor protein
923975..924901	-	308	218694298	ybiY	EC55989_0869	-	COG1180O	AdoMet-dependent glycyl radical activating enzyme
925005..925667	+	220	218694299	fsaA	EC55989_0870	-	COG0176G	fructose-6-phosphate aldolase
925755..926504	-	249	218694300	moeB	EC55989_0871	-	COG0476H	molybdopterin biosynthesis protein MoeB
926504..927739	-	411	218694301	moeA	EC55989_0872	-	COG0303H	molybdopterin biosynthesis protein MoeA
927943..928908	+	321	218694302	iaaA	EC55989_0873	-	COG1446E	L-asparaginase
928928..930766	+	612	218694303	yliA	EC55989_0874	-	COG1123R	glutathione transporter ATP-binding protein
930786..932324	+	512	218694304	yliB	EC55989_0875	-	COG0747E	peptide transporter subunit: periplasmic-binding component of ABC superfamily
932342..933262	+	306	218694305	yliC	EC55989_0876	-	COG0601EP	peptide transporter permease subunit: membrane component of ABC superfamily
933265..934176	+	303	218694306	yliD	EC55989_0877	-	COG1173EP	peptide transporter permease subunit: membrane component of ABC superfamily
934354..936702	+	782	218694307	yliE	EC55989_0878	-	COG2200T	inner membrane protein
936710..938038	+	442	218694308	yliF	EC55989_0879	-	COG2199T	diguanylate cyclase
938085..939410	-	441	218694309	rimO	EC55989_0880	-	COG0621J	ribosomal protein S12 methylthiotransferase
939623..940006	+	127	218694310	bssR	EC55989_0881	-	-	biofilm formation regulatory protein BssR
940117..941232	+	371	218694311	yliI	EC55989_0882	-	COG2133G	PQQ-dependent aldose sugar dehydrogenase precursor (asd)
941229..941855	-	208	218694312	yliJ	EC55989_0883	-	COG0625O	glutathione S-transferase
942102..943304	+	400	218694313	dacC	EC55989_0884	-	COG1686M	D-alanyl-D-alanine carboxypeptidase
943351..944109	-	252	218694314	deoR	EC55989_0885	-	COG1349KG	DNA-binding transcriptional repressor DeoR
944167..944763	-	198	218694315	ybjG	EC55989_0886	-	COG0671I	undecaprenyl pyrophosphate phosphatase
945048..946280	+	410	218694316	cmr	EC55989_0887	-	COG2814G	multidrug efflux system protein
946321..946605	-	94	218694317	ybjH	EC55989_0888	-	-	hypothetical protein
946691..947506	-	271	218694318	ybjI	EC55989_0889	-	COG0561R	phosphatase
947506..948714	-	402	218694319	ybjJ	EC55989_0890	-	COG0738G	transporter
948798..949334	+	178	218694320	ybjK	EC55989_0891	-	COG3226S	DNA-binding transcriptional regulator
949509..951194	-	561	218694321	ybjL	EC55989_0892	-	COG2985R	hypothetical protein
951464..951841	+	125	218694322	ybjM	EC55989_0893	-	-	inner membrane protein
951871..952128	-	85	218694323	grxA	EC55989_0894	-	COG0695O	glutaredoxin
952288..952575	+	95	218694324	ybjC	EC55989_0895	-	-	hypothetical protein
952559..953281	+	240	218694325	nfsA	EC55989_0896	-	COG0778C	nitroreductase A
953342..954244	+	300	218694326	rimK	EC55989_0897	-	COG0189HJ	ribosomal protein S6 modification protein
954332..954808	+	158	218694327	ybjN	EC55989_0898	-	-	hypothetical protein
955160..956272	+	370	218694328	potF	EC55989_0899	-	COG0687E	putrescine ABC transporter periplasmic-binding protein
956367..957500	+	377	218694329	potG	EC55989_0900	-	COG3842E	putrescine ABC transporter ATP-binding protein
957510..958466	+	318	218694330	potH	EC55989_0901	-	COG1176E	putrescine ABC transporter membrane protein
958459..959304	+	281	218694331	potI	EC55989_0902	-	COG1177E	putrescine ABC transporter membrane protein
959364..959852	+	162	218694332	ybjO	EC55989_0903	-	-	inner membrane protein
959893..961020	+	375	218694333	rumB	EC55989_0904	-	COG2265J	23S rRNA methyluridine methyltransferase
961195..961926	-	243	218694334	artJ	EC55989_0905	-	COG0834ET	arginine transporter subunit ; periplasmic-binding component of ABC superfamily
962218..962886	-	222	218694335	artM	EC55989_0906	-	COG4160E	arginine transporter permease subunit ArtM
962886..963602	-	238	218694336	artQ	EC55989_0907	-	COG4215E	arginine transporter permease subunit ArtQ
963609..964340	-	243	218694337	artI	EC55989_0908	-	COG0834ET	arginine transporter subunit ; periplasmic-binding component of ABC superfamily
964358..965086	-	242	218694338	artP	EC55989_0909	-	COG4161E	arginine transporter ATP-binding subunit
965304..965819	-	171	218694339	ybjP	EC55989_0910	-	-	lipoprotein
965945..966268	+	107	218694340	ybjQ	EC55989_0911	-	COG0393S	hypothetical protein
966265..967095	+	276	218694341	ybjR	EC55989_0912	-	COG3023V	cell wall amidase and lipoprotein
967092..968105	-	337	218694342	ybjS	EC55989_0913	-	COG0451MG	NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain
968204..969634	-	476	218694343	ybjT	EC55989_0914	-	COG0702MG	NAD(P)-binding Rossmann-fold domain
969645..970646	-	333	218694344	ltaE	EC55989_0915	-	COG2008E	L-threonine aldolase
970683..972401	-	572	218694345	poxB	EC55989_0916	-	COG0028EH	pyruvate dehydrogenase
972534..973502	-	322	218694346	hcr	EC55989_0917	-	COG1018C	HCP oxidoreductase
973514..975166	-	550	218694347	hcp	EC55989_0918	-	COG1151C	hydroxylamine reductase
975310..976209	-	299	218694348	ybjE	EC55989_0919	-	COG2431S	transporter
976704..977399	-	231	218694349	aqpZ	EC55989_0920	-	COG0580G	aquaporin Z
977825..979483	+	552	218694350	ybjD	EC55989_0921	-	COG3593L	nucleoside triphosphate hydrolase domain
979480..980472	-	330	218694351	ybjX	EC55989_0922	-	COG2990S	hypothetical protein
980587..981702	+	371	218694352	macA	EC55989_0923	-	COG0845M	macrolide transporter subunit MacA
981699..983645	+	648	218694353	macB	EC55989_0924	-	COG1136V	macrolide transporter ATP-binding /permease
983718..983942	-	74	218694354	cspD	EC55989_0925	-	COG1278K	stationary phase/starvation inducible regulatory protein CspD
984265..984585	+	106	218694355	clpS	EC55989_0926	-	COG2127S	ATP-dependent Clp protease adaptor protein ClpS
984616..986892	+	758	218694356	clpA	EC55989_0927	-	COG0542O	ATP-dependent Clp protease ATP-binding subunit
987576..987794	-	72	218694357	infA	EC55989_0929	-	COG0361J	translation initiation factor IF-1
988079..988783	-	234	218694358	aat	EC55989_0930	-	COG2360O	leucyl/phenylalanyl-tRNA--protein transferase
988825..990546	-	573	218694359	cydC	EC55989_0931	-	COG4987CO	cysteine/glutathione ABC transporter membrane/ATP-binding protein
990547..992313	-	588	218694360	cydD	EC55989_0932	-	COG4988CO	cysteine/glutathione ABC transporter membrane/ATP-binding protein
992436..993401	-	321	218694361	trxB	EC55989_0933	-	COG0492O	thioredoxin reductase
993946..994440	+	164	218694362	lrp	EC55989_0934	-	COG1522K	leucine-responsive transcriptional regulator
994575..998642	+	1355	218694363	ftsK	EC55989_0935	-	COG1674D	DNA translocase FtsK
998794..999408	+	204	218694364	lolA	EC55989_0936	-	COG2834M	outer-membrane lipoprotein carrier protein
999419..1000762	+	447	218694365	ycaJ	EC55989_0937	-	COG2256L	recombination factor protein RarA
1000853..1002145	+	430	218694366	serS	EC55989_0938	-	COG0172J	seryl-tRNA synthetase
1002384..1004828	+	814	218694367	dmsA	EC55989_0939	-	COG0243C	dimethyl sulfoxide reductase, anaerobic subunit A
1004839..1005456	+	205	218694368	dmsB	EC55989_0940	-	COG0437C	dimethyl sulfoxide reductase, anaerobic subunit B
1005458..1006321	+	287	218694369	dmsC	EC55989_0941	-	COG3302R	dimethyl sulfoxide reductase, anaerobic subunit C
1006357..1006983	-	208	218694370	ycaC	EC55989_0942	-	COG1335Q	hydrolase
1007297..1008445	+	382	218694371	ycaD	EC55989_0943	-	COG2814G	MFS family transporter protein
1008655..1010085	+	476	218694372	ycaM	EC55989_0944	-	COG0531E	transporter
1010086..1010994	-	302	218694373	ycaN	EC55989_0945	-	COG0583K	DNA-binding transcriptional regulator
1011094..1011684	+	196	218694374	ycaK	EC55989_0946	-	COG2249R	hypothetical protein
1011766..1012506	-	246	218694375	pflA	EC55989_0947	-	COG1180O	pyruvate formate lyase-activating enzyme 1
1012698..1014980	-	760	218694376	pflB	EC55989_0948	-	COG1882C	pyruvate formate lyase I
1015035..1015892	-	285	218694377	focA	EC55989_0949	-	COG2116P	formate transporter
1016297..1018057	-	586	218694378	ycaO	EC55989_0950	-	COG1944S	hypothetical protein
1018187..1018879	+	230	218694379	ycaP	EC55989_0951	-	COG2323S	inner membrane protein
1019078..1020166	+	362	218694380	serC	EC55989_0952	-	COG1932HE	phosphoserine aminotransferase
1020237..1021520	+	427	218694381	aroA	EC55989_0953	-	COG0128E	3-phosphoshikimate 1-carboxyvinyltransferase
1021689..1022453	+	254	218694382	ycaL	EC55989_0954	-	COG0501O	lipoprotein with metallohydrolase domain
1022626..1023309	+	227	218694383	cmk	EC55989_0955	-	COG0283F	cytidylate kinase
1023420..1025093	+	557	218694384	rpsA	EC55989_0956	-	COG0539J	30S ribosomal protein S1
1025253..1025537	+	94	218694385	ihfB	EC55989_0957	-	COG0776L	integration host factor subunit beta
1025744..1028008	+	754	218694386	ycaI	EC55989_0958	-	COG2333R	hypothetical protein
1028045..1029793	+	582	218694387	msbA	EC55989_0959	-	COG1132V	lipid transporter ATP-binding/permease
1029790..1030776	+	328	218694388	lpxK	EC55989_0960	-	COG1663M	tetraacyldisaccharide 4'-kinase
1030813..1032045	+	410	218694389	ycaQ	EC55989_0961	-	COG3214S	hypothetical protein
1032097..1032279	+	60	218694390	ycaR	EC55989_0962	-	COG2835S	hypothetical protein
1032276..1033022	+	248	218694391	kdsB	EC55989_0963	-	COG1212M	3-deoxy-manno-octulosonate cytidylyltransferase
1033176..1034069	+	297	218694392	ycbJ	EC55989_0964	-	-	hypothetical protein
1034046..1034825	-	259	218694393	ycbC	EC55989_0965	-	COG1434S	hypothetical protein
1034728..1034892	-	54	218694394	-	EC55989_0966	-	-	hypothetical protein
1034961..1035746	+	261	218694395	smtA	EC55989_0967	-	COG2227H	metallothionein SmtA
1035743..1037065	+	440	218694396	mukF	EC55989_0968	-	COG3006D	condesin subunit F
1037073..1037750	+	225	218694397	mukE	EC55989_0969	-	COG3095D	condesin subunit E
1037750..1042210	+	1486	218694398	mukB	EC55989_0970	-	COG3096D	cell division protein MukB
1042471..1044318	+	615	218694399	ycbB	EC55989_0971	-	COG2989S	hypothetical protein
1044499..1045047	+	182	218694400	ycbK	EC55989_0972	-	COG3108S	hypothetical protein
1045074..1045721	+	215	218694401	ycbL	EC55989_0973	-	COG0491R	metal-binding hydrolase
1045963..1046943	-	326	218694402	-	EC55989_0975	-	COG3547L	transposase, IS110 family
1047222..1048412	-	396	218694403	aspC	EC55989_0977	-	COG1448E	aromatic amino acid aminotransferase
1048597..1049685	-	362	218694404	ompF	EC55989_0978	-	COG3203M	outer membrane protein F
1050287..1051687	-	466	218694405	asnC	EC55989_0979	-	COG0017J	asparaginyl-tRNA synthetase
1051856..1053058	-	400	218694406	pncB	EC55989_0980	-	COG1488H	nicotinate phosphoribosyltransferase
1053324..1055936	+	870	218694407	pepN	EC55989_0981	-	COG0308E	aminopeptidase
1056143..1056910	-	255	218694408	ssuB	EC55989_0982	-	COG1116P	aliphatic sulfonates transport ATP-binding subunit
1056907..1057698	-	263	218694409	ssuC	EC55989_0983	-	COG0600P	alkanesulfonate transporter permease
1057709..1058854	-	381	218694410	ssuD	EC55989_0984	-	COG2141C	alkanesulfonate monooxygenase
1058851..1059810	-	319	218694411	ssuA	EC55989_0985	-	COG0715P	alkanesulfonate transporter substrate-binding subunit
1059803..1060378	-	191	218694412	ssuE	EC55989_0986	-	COG0431R	NAD(P)H-dependent FMN reductase
1060725..1061276	+	183	218694413	ycbQ	EC55989_0987	-	COG3539NU	fimbrial-like adhesin protein
1061359..1062060	+	233	218694414	ycbR	EC55989_0988	-	COG3121NU	periplasmic pilin chaperone
1062085..1064685	+	866	218694415	ycbS	EC55989_0989	-	COG3188NU	outer membrane export usher protein
1064676..1065746	+	356	218694416	ycbT	EC55989_0990	-	COG3539NU	fimbrial-like adhesin protein
1065758..1066300	+	180	218694417	ycbU	EC55989_0991	-	COG3539NU	fimbrial-like adhesin protein
1066308..1066823	+	171	218694418	ycbV	EC55989_0992	-	COG3539NU	fimbrial-like adhesin protein
1066816..1067526	+	236	218694419	ycbF	EC55989_0993	-	COG3121NU	pili assembly chaperone
1067637..1068647	+	336	218694420	pyrD	EC55989_0994	-	COG0167F	dihydroorotate dehydrogenase 2
1068821..1069363	+	180	218694421	ycbW	EC55989_0995	-	-	hypothetical protein
1069360..1070469	-	369	218694422	ycbX	EC55989_0996	-	COG3217R	2Fe-2S cluster-containing protein
1070713..1072821	+	702	218694423	rlmL	EC55989_0997	-	COG0116L	23S rRNA m(2)G2445 methyltransferase
1072832..1074739	+	635	218694424	uup	EC55989_0998	-	COG0488R	ABC transporter ATPase
1074869..1076122	+	417	218694425	pqiA	EC55989_0999	-	COG2995S	paraquat-inducible membrane protein A
1076127..1077767	+	546	218694426	pqiB	EC55989_1000	-	COG3008R	paraquat-inducible protein B
1077779..1078327	+	182	218694427	ymbA	EC55989_1001	-	COG3009S	hypothetical protein
1078583..1078750	+	55	218694428	rmf	EC55989_1002	-	COG3130J	ribosome modulation factor
1078820..1079338	-	172	218694429	fabA	EC55989_1003	-	COG0764I	3-hydroxydecanoyl-ACP dehydratase
1079407..1081167	-	586	218694430	ycbZ	EC55989_1004	-	COG1067O	ATP-dependent protease
1081353..1081805	+	150	218694431	ycbG	EC55989_1005	-	COG3120S	hypothetical protein
1081881..1082921	-	346	218694432	ompA	EC55989_1006	-	COG2885M	outer membrane protein A
1083278..1083787	-	169	218694433	sulA	EC55989_1007	-	COG5404D	SOS cell division inhibitor
1084006..1084635	+	209	218694434	yccR	EC55989_1008	-	COG3070K	hypothetical protein
1084598..1086751	-	717	218694435	yccS	EC55989_1009	-	COG1289S	inner membrane protein
1086770..1087216	-	148	218694436	yccF	EC55989_1010	-	COG3304S	hypothetical protein
1087339..1089393	+	684	218694437	helD	EC55989_1011	-	COG0210L	DNA helicase IV
1089425..1089883	-	152	218694438	mgsA	EC55989_1012	-	COG1803G	methylglyoxal synthase
1089979..1090641	-	220	218694439	yccT	EC55989_1013	-	COG3110S	hypothetical protein
1090814..1091227	+	137	218694440	yccU	EC55989_1014	-	COG1832R	CoA-binding protein
1091272..1091589	-	105	218694441	yccV	EC55989_1015	-	COG3785S	heat shock protein HspQ
1091647..1092750	-	367	218694442	yccW	EC55989_1016	-	COG1092R	AdoMet-dependent methyltransferase, UPF0064 family
1092719..1093210	+	163	218694443	yccX	EC55989_1017	-	COG1254C	acylphosphatase
1093207..1093536	-	109	218694444	tusE	EC55989_1018	-	COG2920P	sulfur transfer protein TusE
1093627..1094286	-	219	218694445	yccA	EC55989_1019	-	COG0670R	hypothetical protein
1094492..1094704	+	70	218694446	-	EC55989_1020	-	-	hypothetical protein
1094694..1095713	-	339	218694447	-	EC55989_1021	-	COG4973L	integrase from prophage
1095691..1096071	-	126	218694448	-	EC55989_1022	-	-	hypothetical protein
1096001..1098493	-	830	218694449	-	EC55989_1023	-	COG0847L	exonuclease from phage origin
1098589..1098777	-	62	218694450	-	EC55989_1024	-	-	hypothetical protein
1098774..1099067	-	97	218694451	-	EC55989_1025	-	-	regulator of cell division encoded by prophage
1099530..1099748	-	72	218694452	ydfC	EC55989_1026	-	-	Qin prophage
1099778..1099906	-	42	218694453	ydfB	EC55989_1027	-	-	Qin prophage
1099908..1100063	-	51	218694454	ydfA	EC55989_1028	-	-	Qin prophage
1100271..1100678	-	135	218694455	dicA	EC55989_1029	-	COG1396K	transcriptional repressor DicA
1100755..1100982	+	75	218694456	dicC	EC55989_1030	-	-	DNA-binding transcriptional regulator DicC
1100966..1101517	+	183	218694457	-	EC55989_1031	-	-	hypothetical protein
1101414..1102529	+	371	218694458	-	EC55989_1032	-	COG5529R	hypothetical protein
1102318..1102983	+	221	218694459	-	EC55989_1033	-	-	replication protein in prophage
1102999..1103787	+	262	218694460	-	EC55989_1034	-	COG1321K	hypothetical protein
1103788..1104225	+	145	218694461	-	EC55989_1035	-	-	phage protein
